Word,ID
abandon,1
ability,2
able,3
abortion,4
abroad,5
absence,6
absolute,7
absolutely,8
absorb,9
abuse,10
academic,11
accept,12
access,13
accident,14
accompany,15
accomplish,16
according,17
account,18
accurate,19
accuse,20
achieve,21
achievement,22
acid,23
acknowledge,24
acquire,25
across,26
act,27
action,28
active,29
activist,30
activity,31
actor,32
actress,33
actual,34
actually,35
ad,36
adapt,37
add,38
addition,39
additional,40
address,41
adequate,42
adjust,43
adjustment,44
administration,45
administrator,46
admire,47
admission,48
admit,49
adolescent,50
adopt,51
adult,52
advance,53
advanced,54
advantage,55
adventure,56
advertising,57
advice,58
advise,59
adviser,60
advocate,61
affair,62
affect,63
afford,64
afraid,65
African,66
African-American,67
afternoon,68
age,69
agency,70
agenda,71
agent,72
aggressive,73
ago,74
agree,75
agreement,76
agricultural,77
ah,78
ahead,79
aid,80
aide,81
AIDS,82
aim,83
air,84
aircraft,85
airline,86
airport,87
album,88
alcohol,89
alive,90
alliance,91
allow,92
ally,93
almost,94
alone,95
along,96
already,97
also,98
alter,99
alternative,100
although,101
always,102
amazing,103
American,104
among,105
amount,106
analysis,107
analyst,108
analyze,109
ancient,110
anger,111
angle,112
angry,113
animal,114
anniversary,115
announce,116
annual,117
another,118
answer,119
anticipate,120
anxiety,121
anybody,122
anymore,123
anyone,124
anything,125
anyway,126
anywhere,127
apart,128
apartment,129
apparent,130
apparently,131
appeal,132
appear,133
appearance,134
apple,135
application,136
apply,137
appoint,138
appointment,139
appreciate,140
approach,141
appropriate,142
approval,143
approve,144
approximately,145
Arab,146
architect,147
area,148
argue,149
argument,150
arise,151
arm,152
armed,153
army,154
around,155
arrange,156
arrangement,157
arrest,158
arrival,159
arrive,160
art,161
article,162
artist,163
artistic,164
Asian,165
aside,166
ask,167
asleep,168
aspect,169
assault,170
assert,171
assess,172
assessment,173
asset,174
assign,175
assignment,176
assist,177
assistance,178
assistant,179
associate,180
association,181
assume,182
assumption,183
assure,184
athlete,185
athletic,186
atmosphere,187
attach,188
attack,189
attempt,190
attend,191
attention,192
attitude,193
attorney,194
attract,195
attractive,196
attribute,197
audience,198
author,199
authority,200
auto,201
available,202
average,203
avoid,204
award,205
aware,206
awareness,207
away,208
awful,209
baby,210
back,211
background,212
bad,213
badly,214
bag,215
bake,216
balance,217
ball,218
ban,219
band,220
bank,221
bar,222
barely,223
barrel,224
barrier,225
base,226
baseball,227
basic,228
basically,229
basis,230
basket,231
basketball,232
bathroom,233
battery,234
battle,235
beach,236
bean,237
bear,238
beat,239
beautiful,240
beauty,241
become,242
bed,243
bedroom,244
beer,245
begin,246
beginning,247
behavior,248
behind,249
belief,250
believe,251
bell,252
belong,253
belt,254
bench,255
bend,256
beneath,257
benefit,258
beside,259
besides,260
best,261
bet,262
better,263
beyond,264
Bible,265
big,266
bike,267
bill,268
billion,269
bind,270
biological,271
bird,272
birth,273
birthday,274
bit,275
bite,276
black,277
blade,278
blame,279
