Word,ID,Meanings,Num_Synonyms,Representativeness,Antonym_Count,Hyponym_Count,Hypernym_Count,Word_Frequency,Zipf_Frequency,Num_Letters,Num_Syllables,Inv_Num_Letters,Inv_Num_Syllables,Syllables_per_Letter,Flesch_Reading_Ease,Sentiment_Positive,Sentiment_Negative,Polarity,Blob_Positive,Blob_Negative,Blob_Polarity,Blob_Polarityabs,SWN_Positive_Avg,SWN_Negative_Avg,SWN_Polarity_Avg,SWN_Polarity_Avg_abs,SWN_Positive_Max,SWN_Negative_Max,SWN_Polarity_Max,SWN_Polarity_Max_abs,GPT_Positive_Score,GPT_Negative_Score,GPT_Polarity,DepSeek_Positive_Score,DeepSeek_Negative_Score,DeepSeek_Negative_Score_Abs,DeepSeek_Polarity,ZMeanings,ZNum_Synonyms,ZRepresentativeness,ZAntonym_Count,ZHyponym_Count,ZHypernym_Count,ZWord_Frequency,ZZipf_Frequency,ZNum_Letters,ZNum_Syllables,ZInv_Num_Letters,ZInv_Num_Syllables,ZSyllables_per_Letter,ZFlesch_Reading_Ease,ZSentiment_Positive,ZSentiment_Negative,ZPolarity,ZBlob_Positive,ZBlob_Negative,ZBlob_Polarity,ZBlob_Polarityabs,ZSWN_Positive_Avg,ZSWN_Negative_Avg,ZSWN_Polarity_Avg,ZSWN_Polarity_Avg_abs,ZSWN_Positive_Max,ZSWN_Negative_Max,ZSWN_Polarity_Max,ZSWN_Polarity_Max_abs,ZGPT_Positive_Score,ZGPT_Negative_Score,ZGPT_Polarity,ZDepSeek_Positive_Score,ZDeepSeek_Negative_Score,ZDeepSeek_Negative_Score_Abs,ZDeepSeek_Polarity
one,1759,9,16,1.777777778,0,3,3,.00295,6.47,3,1,.333333333,1,.333333333,121.22,0,0,0,0,0,0,0,.325,.175,.15,.15,.5,.5,0,0,0,0,0,0,0,0,0,.289228237499899,.507132392850643,.0574550792861695,-.56953161811483,-.492090641224675,-.634386282537624,16.4815275144268,3.7592888662344,-1.52029897864071,-1.0975726426378,2.39665010971197,1.39443118542922,.141181592073113,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,1.23488736419975,.519533792932027,.544693815388233,.0220615571707584,1.26657519711339,1.39591764899262,-.105946715317105,-.859057442529903,-1.71406292053778,-1.38046066638928,-2.58604829008807,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
like,1493,11,11,1,3,6,11,.00257,6.41,4,1,.25,1,.25,121.22,1,0,.3612,0,0,0,0,.3125,.025,.2875,.2875,1,.25,.75,.75,.24,0,.24,.4,0,0,.4,.575292268640826,.0362028131764728,-.603519450435895,2.30261533924636,-.441249554190856,-.0821110851311633,14.2879282772786,3.63291532522762,-1.08603506224976,-1.0975726426378,1.13559059065701,1.39443118542922,-.751191060548419,1.0975726426378,2.97836411964322,-.27466087953255,2.06942058547475,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,1.15761673868063,-.482064245230378,1.15861826731601,.821766089845156,3.34903352481028,.351807136363761,2.53126559621466,2.59854179679091,-.868917684530914,-1.38046066638928,-1.90862471808454,1.78371862938185,.349602682080386,-.349602682080386,1.03229949613381
time,2636,15,9,.6,0,59,29,.00195,6.29,4,1,.25,1,.25,121.22,0,0,0,0,0,0,0,.625,0,.625,.625,.75,0,.75,.75,.85,.15,1,0,0,0,0,1.14742033092268,-.152169018693195,-.943449208481548,-.56953161811483,.456942983406618,1.16050810903337,10.7088979429842,3.38016824321406,-1.08603506224976,-1.0975726426378,1.13559059065701,1.39443118542922,-.751191060548419,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,3.08938237665872,-.648997251590778,2.66552374022964,2.7846772155005,2.30780436096183,-.6923033762651,2.53126559621466,2.59854179679091,1.27915979031988,-.898280571587665,.236549926593295,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
get,1139,37,70,1.891891892,3,160,80,.00191,6.28,3,1,.333333333,1,.333333333,121.22,0,0,0,0,0,0,0,.15625,.109375,.046875,.046875,.5,.25,.25,.25,.13,.48,.61,0,0,0,0,4.29412467347287,5.59317185333168,.154432037190205,2.30261533924636,2.1685929135452,4.68126249249956,10.4779927601265,3.3591059863796,-1.52029897864071,-1.0975726426378,2.39665010971197,1.39443118542922,.141181592073113,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,.191733919691582,.0813346512359747,.0842504764424013,-.57771684233504,1.26657519711339,.351807136363761,.773124055193483,.293475637243702,-1.25627591770073,.162515636975881,-.864263377912435,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
would,2875,0,0,0,0,0,0,.00186,6.27,5,1,.2,1,.2,121.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.34,.66,1,0,0,0,0,-.998059902634269,-.999842262106701,-1.45334384555003,-.56953161811483,-.542931728258494,-.841489481565047,10.1893612815543,3.33804372954513,-.651771145858808,-1.0975726426378,.3789548761975,1.39443118542922,-1.28661465426303,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,-.774148899297463,-.648997251590778,-.125041950351159,-.850343387564949,-.815883130583504,-.6923033762651,-.105946715317105,-.859057442529903,-.516773836194719,.741131750737816,.236549926593295,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
people,1845,6,7,1.166666667,0,91,13,.00178,6.25,6,2,.166666667,.5,.333333333,36.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.27,.73,1,0,0,0,0,-.13986780921149,-.340540850562863,-.461882050966931,-.56953161811483,.999247911767356,.0559577142204518,9.72755091583893,3.29591921587621,-.217507229467855,-.111461569609492,-.125468928397939,-.342453951381019,.141181592073113,.111461569609491,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,-.774148899297463,-.648997251590778,-.125041950351159,-.850343387564949,-.815883130583504,-.6923033762651,-.105946715317105,-.859057442529903,-.763274530030056,.966149128311901,.236549926593295,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
new,1698,12,10,.833333333,2,0,0,.00178,6.25,3,1,.333333333,1,.333333333,121.22,0,0,0,.136363636,0,.136363636,.136363636,.1875,.15625,.03125,.03125,.375,.625,-.25,.25,.6,0,.6,.4,0,0,.4,.718324284211289,-.0579831027583612,-.745156849904859,1.34523302012596,-.542931728258494,-.841489481565047,9.72755091583893,3.29591921587621,-1.52029897864071,-1.0975726426378,2.39665010971197,1.39443118542922,.141181592073113,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,.919611566978677,-.183729753955795,.837438024128491,.654651952946333,.384910483489391,.394334038161726,.0144863341778813,-.668592357411676,.745960615189164,1.91797290530705,-.985017485827694,.293475637243702,.398800169479389,-1.38046066638928,-.892489360079249,1.78371862938185,.349602682080386,-.349602682080386,1.03229949613381
also,98,1,5,5,0,0,0,.00155,6.19,4,2,.25,.5,.5,36.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.58,.06,.64,0,0,0,0,-.855027887063806,-.528912682432531,2.79577813002064,-.56953161811483,-.542931728258494,-.841489481565047,8.39984611440712,3.16954567486943,-1.08603506224976,-.111461569609492,1.13559059065701,-.342453951381019,1.92592690802465,.111461569609491,-.335638725790563,-.27466087953255,-.0639424021516005,-.239797057959957,-.183729753955795,-.0862730085660696,-.308433827132557,-.774148899297463,-.648997251590778,-.125041950351159,-.850343387564949,-.815883130583504,-.6923033762651,-.105946715317105,-.859057442529903,.32837139981215,-1.18758862846863,-.779585431411995,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
good,1159,27,37,1.37037037,5,44,6,.00132,6.12,4,1,.25,1,.25,121.22,1,0,.4404,.7,0,.7,.7,.668478261,.005434783,.663043478,.663043478,1,.125,.875,.875,.7,.95,1.65,.7,0,0,.7,2.86380451776824,2.48503662748216,-.288769674782447,4.21737997748715,.202737548237521,-.427283083510201,7.07214131297531,3.02210987702819,-1.08603506224976,-1.0975726426378,1.13559059065701,1.39443118542922,-.751191060548419,1.0975726426378,2.97836411964322,-.27466087953255,2.53720117412372,5.71183389926271,-.183729753955795,4.65544363857725,4.63540652378932,3.35814977057501,-.612707464986523,2.8353842593611,3.00593933764812,3.34903352481028,-.17024811995067,2.97080098146995,3.17480833667771,.750944017815584,1.6733466006876,2.07123876743618,3.42168886948737,.349602682080386,-.349602682080386,2.23367178700665
first,1040,16,28,1.75,4,8,11,.00129,6.11,5,1,.2,1,.2,121.22,0,0,0,.25,0,.25,.25,.291666667,0,.291666667,.291666667,.625,0,.625,.625,.72,1,1.72,0,0,0,0,1.29045234649314,1.63736338406865,.0338488458997049,3.25999765836675,-.40735549616831,-.0821110851311633,6.89896242583203,3.00104762019372,-.651771145858808,-1.0975726426378,.3789548761975,1.39443118542922,-1.28661465426303,1.0975726426378,-.335638725790563,-.27466087953255,-.0639424021516005,1.88578542676242,-.183729753955795,1.60719722255655,1.45722344105383,1.02883236487597,-.648997251590778,1.17722204007485,.845999562470937,1.78718977903761,-.6923033762651,2.09173021095937,2.02227525690411,.821372787482823,1.8340732989548,2.26882064260387,-.400241690758841,.349602682080386,-.349602682080386,-.569530225029963
